"Name"	"Area_m2"	"d_m"
"200098"	98583.2025509488	354.288063494248
"2001"	12572.158358117	126.520232311782
"200118"	492221.22322859	791.653665546086
"200123"	126652.75266822	401.571031259402
"200127"	4310246.5322006	2342.64302281748
"200133"	22217027.9608393	5318.6087058767
"200135"	16308232.898602	4556.784725138
"200177"	2395224928.96782	55224.0445648207
"20018"	59084.227428999	274.277915320807
"200182"	48031787.8985773	7820.22836986239
"200183"	214032552.901854	16508.0195727792
"200184"	784659.340595111	999.529540129511
"200185"	50171372.9415655	7992.50749407574
"200186"	50171372.9415655	7992.50749407574
"200187"	50171372.9415655	7992.50749407574
"200188"	36756661.4905115	6841.05510445307
"200191"	7540308.64874869	3098.48659043337
"200200"	7574502.31811711	3105.50412704843
"200201"	922835.16166195	1083.96965875437
"200203"	627665824.627414	28269.5763815878
"200204"	37370679.5162263	6897.95817424864
"200208"	4268054413.01978	73717.4040355343
"200211"	640598857.636032	28559.3381900626
"200212"	617976011.267896	28050.5168445073
"200214"	3498433.76681665	2110.53173786791
"200215"	17287149.7319354	4691.5543964083
"200227"	687391.050449104	935.528443249505
"200228"	30556462.4189666	6237.44308984396
"200233"	1023773.01475122	1141.71287424378
"200239"	27070994.0182634	5870.93349471292
"200240"	8851474.83419328	3357.08918382026
"200242"	79375715.3201075	10053.0741386504
"200243"	91313103.9053603	10782.5532618585
"200252"	1937676910.77907	49670.180870661
"200254"	851920.441453628	1041.48873975046
"200255"	8503001.55100544	3290.34311640664
"200256"	272228962.497555	18617.5369013764
"200257"	272228962.497555	18617.5369013764
"200258"	987173616.34886	35452.905182151
"200259"	7532754.86795279	3096.9341902394
"200260"	45893399.6828954	7644.16714355453
"200262"	426385237604.139	736811.065205245
"200263"	522809.211571541	815.880728124337
"200264"	27473989.0798513	5914.47118076406
"200265"	27473989.0798513	5914.47118076406
"200267"	353977424.153875	21229.6503592547
"200272"	20658.2025017555	162.181504335057
"200273"	30338343.9142903	6215.14112417809
"200275"	14184.0314987893	134.386270906025
"200282"	107274.295749721	369.575263623203
"200283"	38240.866499126	220.657615893097
"200285"	1665136.89369598	1456.06254688842
"200286"	11804581.1676868	3876.86207540775
"200287"	617814377.017048	28046.8482386885
"200288"	4429917.3995306	2374.94126516693
"200289"	4429917.3995306	2374.94126516693
"20029"	14509.6203838432	135.919911903314
"20034"	2578.85501403492	57.3018340370342
"20042"	132773.327285857	411.159641485418
"2006"	20483.4110876429	161.493928702765
"20060"	64591.4297893676	286.775805567359
"2011"	39638.5385333407	224.653855422421
"20128"	47770.8403605288	246.62466022735
"20131"	47626.7304318932	246.252383891665
"20183"	183742.985055376	483.68257632479
"20188"	32986.1220282988	204.937148886896
"20194"	34244.3455975174	208.809135332573
"202"	30284.4551308047	196.36538865925
"2023"	110829.219970541	375.648965895881
"2026"	64170.9078312442	285.840755443123
"20279"	30400.7304270231	196.741993912127
"20281"	21443.2588053525	165.234394358333
"20287"	95395.0519326535	348.512198484815
"20289"	20907.8422288273	163.158485898916
"20295"	91536.3563830163	341.390844528419
"20298"	1560.33532857298	44.5721958555606
"203"	265.329961256757	18.3801142291105
"20304"	42089.1960231131	231.494338554397
"20306"	850819.495318798	1040.81555852683
"20311"	799733.481816429	1009.08487962976
"20316"	98792.5943168421	354.664119712132
"2048"	39751.1085960079	224.972628138401
"2049"	28078.279957695	189.077699346808
"20495"	7628.74654553886	98.5556785707543
"205"	132904.989895752	411.363451011266
"20515"	185032.342921385	485.376653808673
"2053"	50455.3121474361	253.459461587198
"206"	479644.319003946	781.474320987831
"2065"	1182113.12782823	1226.83054278147
"208"	31838.0360961675	201.339133266104
"209"	53127.0949535002	260.083675365634
"212"	22475089.8359789	5349.40867298841
"21415"	12857.3127851337	127.947016679019
"21533"	1519012.61364957	1390.70734831242
"21535"	79455.3872792549	318.065623930337
"21537"	366693.030619413	683.292080565418
"21541"	60212.5990829595	276.884564834713
"21543"	449163.65661607	756.23602774625
"21545"	182208.510196324	481.658676418519
"21549"	1785618.55111823	1507.81966796313
"21551"	74581.7893300442	308.156589240145
"21553"	772286.754014677	991.61788763951
"21577"	471305.251842998	774.651201695234
"21580"	2512014.84921111	1788.40617393743
"21600"	19012.9112250263	155.589171963355
"21603"	12121.8418069148	124.233684416055
"21606"	4395.6045326155	74.8108114776413
"21651"	2869.93703861196	60.4492955166632
