Project	Event	Data_Source	Site_Name	Site_Name_Clean	Site_ID	Dataset_ID	Latitude	Longitude	Elevation	Continent	Basin_Type	Basin_Source	Basin_Comment	Basin_Area	Data_Type	Number_Pollen_Samples	AgeModel_Source	Number_Datings
LegacyPollen_1.0	FOYECHI	Cao et al. (2013) / Zhou et al. (2022)	Foyechi Lake	Foyechi Lake	245	100162	33.95	107.733	3400	Asia	Lake	NA	can't find a basin	NA	Digitized	24	Zhou et al. (2022)	2
LegacyPollen_1.0	JIANGCUN	Cao et al. (2013) / Zhou et al. (2022)	Jiangcun	Jiangcun	247	100163	34.4	109.5	650	Asia	Loess/Palaeosol	NA	? special type: loess?	NA	Raw	66	Zhou et al. (2022)	10
LegacyPollen_1.0	LIUSHUW	Cao et al. (2013) / Zhou et al. (2022)	Liushuwan	Liushuwan	248	100164	37.767	108.833	1300	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	13	Zhou et al. (2022)	3
LegacyPollen_1.0	LUOCHU	Cao et al. (2013) / Zhou et al. (2022)	Luochuan	Luochuan	249	100165	35.75	109.417	1068	Asia	Loess/Palaeosol	NA	? special type: loess?	NA	Digitized	23	Zhou et al. (2022)	5
LegacyPollen_1.0	XIEHUSO4	Cao et al. (2013) / Zhou et al. (2022)	Xiehu Lake SO4	Xiehu Lake SO4	237	100166	37.55	122.517	0	Asia	Lake	NA	marine site	NA	Digitized	29	Zhou et al. (2022)	4
LegacyPollen_1.0	GUANGFU	Cao et al. (2013) / Zhou et al. (2022)	Guangfulin	Guangfulin	251	100168	31.065	121.192	4	Asia	Alluvial/Fluvial	NA	NA	NA	Digitized	53	Zhou et al. (2022)	7
LegacyPollen_1.0	HEMING2007	Cao et al. (2013) / Zhou et al. (2022)	Heming 2007	Heming 2007	253	100169	30.95	121.867	4	Asia	Alluvial/Fluvial	NA	NA	NA	Digitized	100	Zhou et al. (2022)	4
LegacyPollen_1.0	JIADINGP5	Cao et al. (2013) / Zhou et al. (2022)	Jiading P5	Jiading P5	254	100170	31.383	121.233	4	Asia	Alluvial/Fluvial	NA	NA	NA	Digitized	19	Zhou et al. (2022)	6
LegacyPollen_1.0	MAQIAO	Cao et al. (2013) / Zhou et al. (2022)	Maqiao	Maqiao	255	100171	31.1	121.3	5	Asia	Archaeological	NA	? special type: archaeological? Could also be classified as river.	NA	Digitized	13	Zhou et al. (2022)	7
LegacyPollen_1.0	SHANGHAICY	Cao et al. (2013) / Zhou et al. (2022)	Shanghai CY	Shanghai CY	259	100172	31.217	121.4	4	Asia	Loess/Palaeosol	NA	? special type: paleosol? Could also be classified as river.	NA	Digitized	16	Zhou et al. (2022)	2
LegacyPollen_1.0	ZHAOXI	Cao et al. (2013) / Zhou et al. (2022)	Zhaoxiang	Zhaoxiang	261	100174	31.133	121.183	3	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	35	Zhou et al. (2022)	5
LegacyPollen_1.0	GANHAI	Cao et al. (2013) / Zhou et al. (2022)	Ganhai	Ganhai	239	100175	38.885	112.194	1854	Asia	Lake	NA	can't find a basin	NA	Digitized	45	Zhou et al. (2022)	5
LegacyPollen_1.0	WANGGU	Cao et al. (2013) / Zhou et al. (2022)	Yanggao Wangguantun	Yanggao Wangguantun	241	100177	40.267	113.667	800	Asia	Peat	FIXED_100	NA	NA	Raw	16	Zhou et al. (2022)	2
LegacyPollen_1.0	DAHAIZI	Cao et al. (2013) / Zhou et al. (2022)	Dahaizi Lake	Dahaizi Lake	262	100178	27.833	102.667	3660	Asia	Lake	NA	can't find a basin	NA	Digitized	31	Zhou et al. (2022)	3
LegacyPollen_1.0	HONGYUBA	Cao et al. (2013) / Zhou et al. (2022)	Hongyuan Baihe	Hongyuan Baihe	264	100179	32.8	102.533	3500	Asia	Peat	FIXED_100	NA	NA	Raw	42	Zhou et al. (2022)	5
LegacyPollen_1.0	JIANSHA	Cao et al. (2013) / Zhou et al. (2022)	Jinsha Relics IT6814	Jinsha Relics IT6814	266	100180	28.5	104.067	1794	Asia	Archaeological	NA	? special type: archaeological? Pin located near a river.	NA	Digitized	81	Zhou et al. (2022)	9
LegacyPollen_1.0	NALENG	Cao et al. (2013) / Zhou et al. (2022)	Naleng Co	Naleng Co	267	100181	31.113	99.755	4200	Asia	Lake	GIS	l, GE, L2, modified LW shape	1714427.122	Raw	191	Zhou et al. (2022)	16
LegacyPollen_1.0	SHAYEMA	Cao et al. (2013) / Zhou et al. (2022)	Shayema Lake	Shayema Lake	270	100182	28.583	102.217	2400	Asia	Lake	NA	can't find a basin	NA	Digitized	91	Zhou et al. (2022)	5
LegacyPollen_1.0	YIDUN	Cao et al. (2013) / Zhou et al. (2022)	Yidun Lake	Yidun Lake	274	100183	30.298	99.552	4470	Asia	Lake	GIS	l, GE, L2,	248427.8305	Digitized	35	Zhou et al. (2022)	5
LegacyPollen_1.0	ZOIGEDC	Cao et al. (2013) / Zhou et al. (2022)	Zoige DC	Zoige DC	268	100184	33.905	102.545	3396	Asia	Peat	FIXED_100	NA	NA	Raw	55	Zhou et al. (2022)	3
LegacyPollen_1.0	ZOIGERH	Cao et al. (2013) / Zhou et al. (2022)	Zoige RH	Zoige RH	269	100185	33.95	103.35	3400	Asia	Peat	FIXED_100	NA	NA	Digitized	20	Zhou et al. (2022)	4
LegacyPollen_1.0	CHITSAI	Cao et al. (2013) / Zhou et al. (2022)	Chitsai Lake	Chitsai Lake	275	100186	23.753	121.236	2890	Asia	Peat	FIXED_100	NA	NA	Raw	134	Zhou et al. (2022)	4
LegacyPollen_1.0	ILAN	Cao et al. (2013) / Zhou et al. (2022)	Ilan	Ilan	281	100187	24.75	121.733	410	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	36	Zhou et al. (2022)	4
LegacyPollen_1.0	SUNMOON	Cao et al. (2013) / Zhou et al. (2022)	Sun-Moon Lake	Sun-Moon Lake	277	100188	23.867	120.917	746	Asia	Lake	NA	NA	7400671.174	Raw	117	Zhou et al. (2022)	2
LegacyPollen_1.0	TOUSHE	Cao et al. (2013) / Zhou et al. (2022)	Toushe Lake	Toushe Lake	278	100189	23.82	120.9	650	Asia	Peat	FIXED_100	NA	NA	Raw	133	Zhou et al. (2022)	21
LegacyPollen_1.0	BARKOLBLK6E	Cao et al. (2013) / Zhou et al. (2022)	Barkol Lake BLK06E	Barkol Lake BLK06E	318	100190	43.617	92.8	1575	Asia	Lake	GIS	l shape unclear	85444249	Digitized	97	Zhou et al. (2022)	10
LegacyPollen_1.0	BEILIKEK	Cao et al. (2013) / Zhou et al. (2022)	Beilikekule Lake	Beilikekule Lake	319	100191	36.667	89	4680	Asia	Lake	NA	? shape unclear	22207293.93	Raw	12	Zhou et al. (2022)	2
LegacyPollen_1.0	Bosten	Cao et al. (2013) / Zhou et al. (2022)	Bosten Lake	Bosten Lake	320	100192	42	87.02	1050	Asia	Lake	GIS	l, GE, L2,	987173616.4	Digitized	31	Zhou et al. (2022)	5
LegacyPollen_1.0	CAOTAN2002	Cao et al. (2013) / Zhou et al. (2022)	Caotanhu 2002	Caotanhu 2002	322	100193	44.418	86.024	380	Asia	Peat	FIXED_100	NA	NA	Raw	58	Zhou et al. (2022)	5
LegacyPollen_1.0	CHAIWOCKF	Cao et al. (2013) / Zhou et al. (2022)	Chaiwopu CKF	Chaiwopu CKF	323	100194	43.5	87.9	1100	Asia	Lake	GIS	l, GE, L2,	27455321.34	Raw	12	Zhou et al. (2022)	2
LegacyPollen_1.0	DAMAGOU	Cao et al. (2013) / Zhou et al. (2022)	Damagou	Damagou	324	100196	37	80.7	1380	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	18	Zhou et al. (2022)	6
LegacyPollen_1.0	DAXIGOU	Cao et al. (2013) / Zhou et al. (2022)	Daxigou	Daxigou	326	100197	43.117	86.85	3450	Asia	Alluvial/Fluvial	NA	NA	NA	Raw	52	Zhou et al. (2022)	2
